Site,Site_Broodst_Season,StrippingStartDate,StrippingStopDate,MinTemp_prod,MaxTemp_prod,Gain-eggs,Shield-eggs,Organic,SalesStartDate,SalesStopDate
Rimstad,Rimstad_Off-season_24/25,2024-06-05,2024-07-10,300,1200,0.0,23833600.0,False,2024-06-05,2024-09-04
Hønsvikgulen,Hønsvikgulen_Off-season_24/25,2024-07-16,2024-08-27,300,1300,16600150.0,0.0,False,2024-07-16,2024-10-22
Vestseøra,Vestseøra_Off-season_24/25,2024-08-05,2024-09-02,300,1200,7996198.0,7996198.0,True,2024-08-05,2024-10-28
Vestseøra,Vestseøra_Off-season_24/25,2024-08-13,2024-09-02,300,1100,12379159.0,12379159.0,True,2024-08-13,2024-10-28
Bogen,Bogen_Off-season2_24/25,2024-08-05,2024-09-09,300,1200,8728493.0,8728493.0,True,2024-08-05,2024-11-04
Barstadvik,Barstadvik_Off-season_24/25,2024-08-15,2024-09-19,300,1200,0.0,0.0,False,2024-08-15,2024-11-14
Kilavågen Land,Kilavågen Land_Early_24/25,2024-09-26,2024-11-21,300,1400,16451359.0,16451359.0,False,2024-09-26,2025-01-16
Vestseøra,Vestseøra_Early_24/25,2024-09-16,2024-09-26,300,1000,7955063.0,6508688.0,True,2024-09-16,2024-11-21
Kilavågen Land,Kilavågen Land_Normal_24/25,2024-11-05,2024-12-09,300,1200,11339986.0,11339986.0,False,2024-11-05,2025-02-03
Hønsvikgulen,Hønsvikgulen_Normal_24/25,2024-10-29,2024-12-03,300,1200,0.0,9231999.0,False,2024-10-29,2025-01-28
Hønsvikgulen,Hønsvikgulen_Normal_24/25,2024-10-29,2024-12-03,300,1200,0.0,9225166.0,False,2024-10-29,2025-01-28
Hønsvikgulen,Hønsvikgulen_Late_24/25,2025-01-01,2025-01-31,300,1200,0.0,8563005.0,False,2025-01-01,2025-03-28
Hønsvikgulen,Hønsvikgulen_Late_24/25,2025-01-01,2025-01-31,300,1200,0.0,8563005.0,False,2025-01-01,2025-03-28
Barstadvik,Barstadvik_Normal_24/25,2024-10-02,2024-10-15,300,1100,37927.0,37927.0,False,2024-10-02,2024-12-10
Kilavågen Land,Kilavågen Land_Normal_24/25,2024-11-21,2024-12-09,300,1100,9201787.0,9201787.0,False,2024-11-21,2025-02-03
Bogen,Bogen_Normal_24/25,2024-10-21,2024-11-05,300,1100,15098530.0,15098530.0,True,2024-10-21,2024-12-31
Rimstad,Rimstad_Normal_24/25,2024-11-01,2024-12-06,300,1200,0.0,23833600.0,False,2024-11-01,2025-01-31
Vestseøra,Vestseøra_Late_24/25,2025-01-13,2025-02-04,300,1100,9339628.0,7641514.0,True,2025-01-13,2025-04-01
Vestseøra,Vestseøra_Late_24/25,2025-01-13,2025-02-04,300,1100,20356699.0,16655481.0,True,2025-01-13,2025-04-01
Bogen,Bogen_Normal2_24/25,2024-11-05,2024-11-27,300,1100,9035290.0,17539093.0,True,2024-11-05,2025-01-22
Barstadvik,Barstadvik_Late_24/25_1,2024-12-17,2025-01-07,300,1100,5461401.0,12743268.0,False,2024-12-17,2025-03-04
Vestseøra,Vestseøra_Normal_24/25,2024-11-19,2024-12-10,300,1100,8300000.0,6790909.0,True,2024-11-19,2025-02-04
Hemne,Hemne_Normal_24/25,2024-09-15,2024-10-15,300,1200,5000000.0,5000000.0,False,2024-09-15,2024-12-10
